date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2021-09-10,California,State,4999,1906,371,91,99,22,7553754,21860834,62.69541135,8.58809216,5.14030129,0.37444657,1.25765282,0.07319025
2021-09-11,California,State,3339,1457,292,60,79,20,7526742,21890664,62.33772859,8.59661974,5.02588921,0.36871557,1.25457431,0.07961646
2021-09-12,California,State,2851,1276,286,66,82,12,7511038,21907464,62.28737721,8.6324134,4.87663242,0.36386816,1.21345222,0.07564284
2021-09-13,California,State,5603,2099,363,91,90,20,7472865,21948889,66.30465214,8.96368181,4.87477981,0.37619867,1.20818072,0.0768018
2021-09-14,California,State,4995,1985,355,89,79,12,7436621,21989571,63.79049225,8.53781355,4.67954465,0.36835644,1.20062209,0.07471074
2021-09-15,California,State,4647,1901,314,80,78,17,7399479,22026435,61.6143766,8.2712302,4.5234845,0.36319995,1.15838271,0.08107142
2021-09-16,California,State,4225,1742,274,79,81,15,7365446,22063350,59.46492776,8.00681414,4.37370469,0.36000232,1.14046047,0.07640337
2021-09-17,California,State,3878,1573,296,59,89,9,7326763,22110356,57.59315929,7.77463737,4.25056156,0.33856145,1.12698375,0.06784151
2021-09-18,California,State,2589,1182,216,57,88,10,7305875,22136012,56.29129199,7.58815222,4.11410582,0.33623297,1.14780424,0.06130928
2021-09-19,California,State,2229,1050,232,57,63,9,7292151,22150937,55.17870222,7.43728616,4.01605977,0.33020209,1.11274242,0.05933319
2021-09-20,California,State,4609,1901,284,61,77,15,7285015,22159441,53.28354555,7.30678566,3.86507685,0.31073502,1.08833975,0.05608703
2021-09-21,California,State,3991,1690,239,78,57,12,7254415,22207172,51.53118086,7.10130943,3.65294789,0.30299092,1.04960713,0.05596648
2021-09-22,California,State,3834,1645,210,48,83,8,7222716,22245538,50.14931858,6.92466315,3.4632797,0.28191849,1.06410307,0.0500903
2021-09-23,California,State,3376,1448,191,46,71,18,7191375,22283945,48.68133205,6.72425179,3.3134931,0.26027707,1.04887551,0.0519272
2021-09-24,California,State,3199,1414,176,51,63,13,7156289,22330878,47.56455675,6.60840244,3.09018902,0.25461221,1.00211556,0.05437698
2021-09-25,California,State,2096,1097,161,56,70,10,7136360,22358098,46.71048786,6.54604622,2.98871854,0.25366328,0.96888129,0.05431078
2021-09-26,California,State,1917,960,162,30,59,5,7124357,22373885,46.16356456,6.48396238,2.85339034,0.23624481,0.96249288,0.05171846
2021-09-27,California,State,3831,1704,196,46,56,11,7095821,22414093,44.78289807,6.34677222,2.68769866,0.22626071,0.92408516,0.04907627
2021-09-28,California,State,3418,1591,152,42,52,8,7069049,22453473,43.79453506,6.27265355,2.52206081,0.20295938,0.91748045,0.04644525
2021-09-29,California,State,3151,1397,144,32,48,11,7042101,22492068,42.57657927,6.10437422,2.39782336,0.1924488,0.84998984,0.04827099
2021-09-30,California,State,2901,1337,128,37,31,11,7014297,22531409,41.77793685,6.02333772,2.27901874,0.18640645,0.77189285,0.04374845
2021-10-01,California,State,2768,1313,126,45,39,7,6984629,22576451,41.07386581,5.9474108,2.18643375,0.18223793,0.72608417,0.03986455
2021-10-02,California,State,1853,873,105,41,53,10,6966766,22601835,40.68089637,5.79914987,2.07720893,0.17255236,0.6930865,0.03981978
2021-10-03,California,State,1636,866,78,20,29,10,6956207,22616834,40.16556724,5.73592977,1.90785418,0.16612152,0.63252862,0.04295157
2021-10-04,California,State,3266,1645,110,44,34,6,6929589,22653576,39.15507419,5.68942026,1.73788909,0.16459085,0.58960413,0.03972883
2021-10-05,California,State,2952,1492,88,30,34,8,6904342,22686786,38.33405538,5.61875219,1.61182216,0.1567936,0.55451648,0.03967067
2021-10-06,California,State,2839,1370,79,31,43,5,6879944,22718756,37.82215171,5.59386765,1.48257021,0.15594415,0.54610079,0.035842
2021-10-07,California,State,2514,1177,61,28,33,5,6856112,22748386,37.14725114,5.4861035,1.34811933,0.15008914,0.55216634,0.03202739
2021-10-08,California,State,2294,1201,49,17,32,4,6827454,22785180,36.31138133,5.40702334,1.19266379,0.1322915,0.53983729,0.03009475
2021-10-09,California,State,1469,831,47,19,15,6,6810752,22805163,35.59497856,5.37597561,1.07393218,0.11839424,0.46145523,0.02756268
